,ingredients
107417,"['pork sirloin roast', 'olive oil', 'lemon juice', 'garlic cloves', 'fresh sage', 'black pepper', 'honey']"
101196,"['halibut steaks', 'salt', 'black pepper', 'olive oil', 'fennel bulb', 'blood oranges', 'lemon zest']"
11596,"['top sirloin steaks', 'bell peppers', 'onion', 'red wine vinegar', 'light soy sauce', 'brown sugar', 'garlic cloves', 'garlic powder', 'dried onion flakes', 'ground ginger', 'black pepper']"
113816,"['cream cheese', 'jalapeno jelly', 'cracker']"
142040,"['chicken legs', 'butter', 'graham cracker crumbs']"
128345,"['lamb pluck', 'green onion', 'anise', 'rice', 'butter', 'lemon juice', 'eggs', 'salt and pepper']"
13884,"['chickpeas', 'onion', 'garlic cloves', 'parsley', 'cumin seed', 'coriander seed', 'baking powder', 'salt', 'ground black pepper', 'olive oil']"
182800,"['butter', 'powdered sugar', 'flour', 'salt', 'vanilla']"
44137,"['olive oil', 'cider vinegar', 'honey', 'water', 'lemon juice', 'marinade', 'garlic cloves', 'soy sauce', 'cumin', 'celery seed', 'cayenne pepper', 'paprika', 'cilantro']"
89456,"['vegetable oil', 'simply potatoes diced potatoes with onion', 'green onions', 'bacon', 'salt and pepper', 'sour cream', 'sun-dried tomato', 'taco seasoning', 'chicken']"
102693,"['boneless beef round steak', 'onions', 'strong coffee', 'soy sauce', 'garlic', 'bay leaves', 'dried oregano', 'cold water', 'cornstarch', 'olive oil']"
144861,"['butter', 'sugar', 'baking soda', 'apple cider vinegar', 'flour']"
93812,"['whole kernel corn', 'butter', 'sugar', 'flour', 'salt', 'evaporated milk', 'eggs', 'parsley', 'baking powder']"
174307,"['garlic', 'onion', 'fennel', 'fresh basil leaves', 'crushed tomatoes', 'parmesan cheese', 'salt & freshly ground black pepper', 'rigatoni pasta', 'italian seasoning', 'dried oregano']"
5649,"['unsweetened chocolate', 'cocoa', 'skim milk', 'non-fat powdered milk', 'evaporated skim milk', 'ground nutmeg', 'ground cinnamon', 'ground allspice', 'vanilla extract', 'almond extract', 'splenda granular', 'cool whip free']"
108125,"['dark brown sugar', 'honey', 'unsalted butter', 'fresh thyme sprig', 'plums', 'creme fraiche']"
158212,"['baking potatoes', 'butter', 'olive oil', 'garlic clove', 'liquid smoke', 'kosher salt', 'garlic powder', 'black pepper']"
93551,"['soft fresh goat cheese', 'olive oil', 'plain yogurt', 'fresh chives', 'fresh italian parsley', 'fresh cilantro', 'of fresh mint', 'fresh thyme', 'fresh rosemary', 'salt', 'pepper', 'baguette', 'assorted fresh vegetable']"
208304,"['glutinous-rice flour', 'brown sugar', 'water']"
165587,"['praline ice cream', 'light brown sugar', 'salt', 'evaporated milk', 'butter', 'pecans', 'sugar', 'eggs', 'vanilla', 'flour', 'baking powder', 'praline', 'dark rum', 'caramel sauce', 'powdered sugar']"
149145,"['maple syrup', 'orange juice']"
45075,"['chicken breasts', 'marinara sauce', 'tomatoes', 'garlic cloves', 'yellow onion', 'butter', 'olive oil', 'dried oregano', 'breadcrumbs', 'flour', 'egg wash', 'mozzarella cheese', 'parmesan cheese', 'salt and pepper', 'angel hair pasta']"
92621,"['shortbread cookies', 'butter', 'granulated sugar', 'light corn syrup', 'sweetened condensed milk', 'vanilla', 'coconut', 'chocolate chips']"
158375,"['turkey parts', 'water', 'carrot', 'celery', 'onions', 'bay leaf', 'turkey drippings', 'flour', 'milk', 'salt and pepper']"
199203,"['ground beef', 'a.1. original sauce', ""mccormick's montreal brand steak seasoning"", 'black pepper', 'seasoning salt', 'onion', 'american cheese', 'hamburger buns with sesame seeds']"
108223,"['sweet potatoes', 'brown sugar', 'honey', 'margarine', 'ground ginger']"
168388,"['olive oil', 'onion', 'carrot', 'celery rib', 'minced garlic clove', 'cubed ham', 'idaho potatoes', 'low sodium chicken broth', 'dried thyme leaves', 'fresh ground pepper', 'salt']"
180245,"['grape tomatoes', 'onion', 'cremini mushrooms', 'romaine lettuce hearts', 'black olives', 'olive oil', 'kosher salt', 'pepper', 'fresh lemon juice', 'honey', 'italian seasoning', 'red pepper flakes', 'salt']"
145620,"['milk', 'half-and-half', 'eggs', 'sugar', 'sweetened condensed milk', 'whole nutmegs', 'heavy cream']"
37027,"['red pearl onion', 'vegetable oil', 'carrots', 'salt & freshly ground black pepper', 'curry powder', 'dry red wine', 'porcini mushroom', 'mushroom broth', 'flat leaf parsley', 'fresh lemon juice']"
118033,"['bacon', 'garlic', 'spaghetti', 'eggs', 'salt', 'parmesan cheese', 'salt & freshly ground black pepper', 'fresh parsley']"
3983,"['all-purpose flour', 'cinnamon', 'fresh lemon rind', 'salt', 'brown sugar', 'butter', 'egg', 'sliced almonds', 'granulated sugar']"
25266,"['margarine', 'cream cheese', 'all-purpose flour', 'sugar', 'egg', 'baking powder', 'vanilla']"
106424,"['boneless skinless chicken breasts', 'vegetable oil', 'carrots', 'broccoli florets', 'butter', 'onions', 'fresh garlic clove', 'reduced-sodium fat-free chicken broth', 'flour', 'nonfat milk', 'salt', 'pepper', 'fat-free half-and-half', 'dried rosemary', 'refrigerated pie crust', 'egg beaters egg substitute']"
168197,"['cavatappi pasta', 'italian sausage', 'sweet onion', 'garlic cloves', 'canned tomatoes', 'fresh basil', 'half and half milk', 'parmesan cheese', 'fresh parsley']"
143510,"['red potatoes', 'frozen green beans', 'onion', 'ham', 'vegetable broth', 'salt and pepper']"
173002,"['garlic powder', 'frozen chopped spinach', 'artichoke hearts', 'alfredo sauce', 'mozzarella cheese', 'parmesan cheese', 'cream cheese']"
193809,"['flour', 'sugar', 'baking soda', 'cocoa', 'cinnamon', 'salt', 'nutmeg', 'allspice', 'oil', 'applesauce', 'eggs', 'raisins', 'cream cheese', 'butter', 'vanilla extract', ""confectioners' sugar"", 'milk', 'fresh lemon juice']"
312,"['butter', 'sugar', 'vanilla', 'eggs', 'milk', 'flour', 'starch', 'baking powder', 'icing sugar', 'lemon']"
166870,"['crushed pineapple', 'pumpkin', 'brown sugar', 'eggs', 'cinnamon', 'ginger', 'unflavored gelatin', 'cream cheese', 'vanilla', 'miniature marshmallow', 'whipping cream', 'graham cracker crumbs', 'butter', 'sugar']"
141431,"['boneless pork chops', 'buttermilk', 'self-rising flour', 'seasoning salt', 'ground black pepper', 'paprika', 'oil']"
37332,"['flour', 'salt', 'brown sugar', 'butter', 'butterscotch chips', 'white corn syrup', 'water', 'cashews']"
141519,"['ready-made pie crust', 'olive oil', 'fresh broccoli', 'onion', 'bell pepper', 'mushroom', 'low-fat cheddar cheese', 'parmesan cheese', 'egg beaters egg substitute', 'skim milk', 'garlic powder', 'salt and pepper']"
38395,"['champagne vinegar', 'dijon mustard', 'canola oil', 'honey', 'water', 'salt', 'white pepper']"
19611,"['dried pinto beans', 'canola oil', 'italian sausage', 'bacon', 'onion', 'chicken stock', 'water', 'salt', 'black pepper', 'garlic cloves', 'chili pepper', 'bell pepper', 'carrots', 'celery ribs', 'red potatoes', 'fresh cilantro', 'cheese', 'chile', 'cilantro']"
208457,"['plain low-fat yogurt', 'parsley', 'garlic clove', 'extra virgin olive oil', 'lemon zest', 'lemon juice', 'dill weed', 'kosher salt']"
30420,"['pie crusts', 'brown sugar', 'water', 'eggs', 'flour', 'salt', 'milk', 'butter', 'vanilla extract', 'dream whip']"
80782,"['sugar', 'dry mustard', 'salt', 'white wine vinegar', 'onion', 'vegetable oil', 'mayonnaise']"
99511,"['extra virgin olive oil', 'eggplant', 'onion', 'red bell pepper', 'zucchini', 'sun-dried tomatoes packed in oil', 'polenta', 'basil leaves']"
5437,"['seafood', 'olive oil', 'onion', 'bell pepper', 'garlic clove', 'diced tomatoes', 'oregano', 'salt & pepper', 'angel hair pasta']"
